country,count
Bolivien,13851
Brasilien,9638
Panama,6712
Argentinien,4948
Kolumbien,4765
Indonesien,4650
Göteborg,4360
Mexiko,3267
Peru,3155
Demokratische Republik Kongo,2603
Paraguay,1960
Vereinigte Staaten,1832
Guyana,1824
Republik Kongo,1643
Ecuador,1411
Schweden,1323
Papua-Neuguinea,1111
Volksrepublik China,1094
Indien,1049
El Salvador,1036
Chile,836
Färöer,711
Marokko,691
Fidschi,651
Japan,542
Zentralafrikanische Republik,471
Philippinen,462
Angola,457
Eritrea,445
Australien,437
Äthiopien,396
Göteborg,374
Ägypten,339
Deutschland,327
Trinidad und Tobago,325
Nigeria,323
Guatemala,275
Costa Rica,262
Liberia,245
Sudan,243
Venezuela,241
Tansania,230
Türkei,222
Uganda,215
Salomonen,203
Russland,201
Samoa,195
Kirgisistan,181
San Blas-Canillejas,176
Schweiz,158
Südafrika,126
Malaysia,123
Kanada,123
Kenia,115
Lappland,107
Vietnam,104
Kamerun,102
Jamaika,100
Deutschland,86
Mali,82
San Agustín,81
Sierra Leone,79
Sri Lanka,78
Nicaragua,72
Südkorea,69
Spanien,65
Sambia,57
Mongolei,56
Elfenbeinküste,56
Simbabwe,53
Neuseeland,46
Nordkorea,45
Finnland,42
Afghanistan,40
Österreich,37
Vanuatu,36
Ungarn,34
Burkina Faso,33
Pakistan,31
Laos,30
Burundi,28
Honduras,27
Ghana,27
Tunesien,24
Algerien,24
Zypern,24
Frankreich,23
Norwegen,23
Kiribati,22
Tonga,21
Argentinien,21
Namibia,20
Tschad,19
Nepal,19
Peru,19
Spanien,19
Brasilien,18
Jemen,18
San Salvador,17
Älör,17
Syrien,17
Buenaventura,16
Ruanda,16
Bangladesch,14
Gemeinde Vadstena,14
Usbekistan,13
Uruguay,13
Libyen,12
Saudi-Arabien,11
St. Vincent und die Grenadinen,10
Singapur,10
Palau,10
Myanmar,10
Sant Joan,9
San Blas-Canillejas,9
Armenien,8
Frankreich,7
Senegal,7
Barbados,6
Lappland,6
Niger,6
Griechenland,6
Guinea,5
Nordland,5
Sibirien,5
Rumänien,5
Malmö,5
Gabun,4
Haiti,4
Botswana,4
Kambodscha,4
Republik China (Taiwan),4
Peru,4
Italien,4
Benin,4
Peru,4
Vereinigtes Königreich,3
Italien,3
Peru,3
Finnland,3
Italien,3
Bhutan,3
Vereinigtes Königreich,3
Serbien,3
Spanien,3
Mosambik,3
Basel,2
Suriname,2
Libanon,2
Gambia,2
Äquatorialguinea,2
Salomonen,2
Indonesien,2
Lappland,2
Dominikanische Republik,2
Portugal,2
Älör,2
Aserbaidschan,2
Oblast Amur,2
Mexiko,2
Schweden,2
Eswatini,1
Maranhão (Avis),1
Flores,1
Indonesien,1
Finnland,1
Komoren,1
Togo,1
Frankreich,1
Sant Joan,1
Thiva,1
Haarlem,1
Balboa,1
Polen,1
Schweden,1
Färöer,1
Malawi,1
Tschechien,1
Slowakei,1
Bougainville,1
Südkorea,1
Irland,1
Irak,1
Dschibuti,1
Santa Ana,1
Nevada,1
Schweden,1
Peru,1
Akka,1
Peru,1
Bougainville,1
