name,count
Afghanistan,40
Akka,1
Algerien,24
Angola,457
Argentinien,4969
Armenien,8
Aserbaidschan,2
Australien,437
Balboa,1
Bangladesch,14
Barbados,6
Basel,2
Benin,4
Bhutan,3
Bolivien,13851
Botswana,4
Bougainville,2
Brasilien,9656
Buenaventura,16
Burkina Faso,33
Burundi,28
Chile,836
Costa Rica,262
Demokratische Republik Kongo,2603
Deutschland,413
Dominikanische Republik,2
Dschibuti,1
Ecuador,1411
El Salvador,1036
Elfenbeinküste,56
Eritrea,445
Eswatini,1
Fidschi,651
Finnland,46
Flores,1
Frankreich,31
Färöer,712
Gabun,4
Gambia,2
Gemeinde Vadstena,14
Ghana,27
Griechenland,6
Guatemala,275
Guinea,5
Guyana,1824
Göteborg,4734
Haarlem,1
Haiti,4
Honduras,27
Indien,1049
Indonesien,4653
Irak,1
Irland,1
Italien,10
Jamaika,100
Japan,542
Jemen,18
Kambodscha,4
Kamerun,102
Kanada,123
Kenia,115
Kirgisistan,181
Kiribati,22
Kolumbien,4765
Komoren,1
Laos,30
Lappland,115
Libanon,2
Liberia,245
Libyen,12
Malawi,1
Malaysia,123
Mali,82
Malmö,5
Maranhão (Avis),1
Marokko,691
Mexiko,3269
Mongolei,56
Mosambik,3
Myanmar,10
Namibia,20
Nepal,19
Neuseeland,46
Nevada,1
Nicaragua,72
Niger,6
Nigeria,323
Nordkorea,45
Nordland,5
Norwegen,23
Oblast Amur,2
Pakistan,31
Palau,10
Panama,6712
Papua-Neuguinea,1111
Paraguay,1960
Peru,3187
Philippinen,462
Polen,1
Portugal,2
Republik China (Taiwan),4
Republik Kongo,1643
Ruanda,16
Rumänien,5
Russland,201
Salomonen,205
Sambia,57
Samoa,195
San Agustín,81
San Blas-Canillejas,185
San Salvador,17
Sant Joan,10
Santa Ana,1
Saudi-Arabien,11
Schweden,1327
Schweiz,158
Senegal,7
Serbien,3
Sibirien,5
Sierra Leone,79
Simbabwe,53
Singapur,10
Slowakei,1
Spanien,87
Sri Lanka,78
St. Vincent und die Grenadinen,10
Sudan,243
Suriname,2
Syrien,17
Südafrika,126
Südkorea,70
Tansania,230
Thiva,1
Togo,1
Tonga,21
Trinidad und Tobago,325
Tschad,19
Tschechien,1
Tunesien,24
Türkei,222
Uganda,215
Ungarn,34
Uruguay,13
Usbekistan,13
Vanuatu,36
Venezuela,241
Vereinigte Staaten,1832
Vereinigtes Königreich,6
Vietnam,104
Volksrepublik China,1094
Zentralafrikanische Republik,471
Zypern,24
Ägypten,339
Älör,19
Äquatorialguinea,2
Äthiopien,396
Österreich,37
